# Convergence History Data
# Solver: sor
# Generated: 2025-09-05 23:55:10
Iteration,Residual
1,1.29566671728240E+00
2,5.22715780276545E-01
3,2.90368325697496E-01
4,1.87742607257285E-01
5,1.28556650254000E-01
6,8.95416828970127E-02
7,6.24772486205059E-02
8,4.34069063023624E-02
9,2.99572541552833E-02
10,2.05265796322557E-02
11,1.39710036141012E-02
12,9.45578233187209E-03
13,6.37174122480379E-03
14,4.27958822953296E-03
15,2.86768685769575E-03
16,1.91845926560139E-03
17,1.28199211303947E-03
18,8.56022651251993E-04
19,5.71293791184519E-04
20,3.81137209361149E-04
21,2.54214612134211E-04
22,1.69531570566389E-04
23,1.13045746376384E-04
24,7.53748868022007E-05
